iter	Passed	Remaining
422	2102	2868
423	2105	2860
424	2112	2857
425	2114	2849
426	2117	2841
427	2120	2833
428	2124	2827
429	2126	2819
430	2129	2811
431	2132	2804
432	2135	2796
433	2140	2791
434	2145	2786
435	2148	2779
436	2151	2772
437	2155	2765
438	2161	2761
439	2168	2759
440	2173	2755
441	2177	2749
442	2180	2741
443	2184	2735
444	2188	2729
445	2192	2723
446	2195	2715
447	2198	2709
448	2201	2702
449	2205	2695
450	2209	2689
451	2213	2683
452	2216	2676
453	2219	2669
454	2226	2666
455	2230	2661
456	2234	2654
457	2237	2647
458	2241	2641
459	2244	2635
460	2248	2628
461	2250	2620
462	2252	2613
463	2255	2605
464	2259	2599
465	2263	2593
466	2266	2586
467	2270	2580
468	2277	2578
469	2281	2572
470	2287	2569
471	2294	2566
472	2300	2563
473	2306	2559
474	2310	2554
475	2315	2549
476	2322	2546
477	2329	2543
478	2335	2540
479	2340	2535
480	2357	2543
481	2361	2537
482	2366	2532
483	2369	2526
484	2373	2520
485	2380	2517
486	2386	2514
487	2395	2513
488	2398	2506
489	2401	2499
490	2406	2494
491	2410	2488
492	2414	2482
493	2419	2477
494	2422	2471
495	2432	2471
496	2444	2474
497	2449	2468
498	2455	2465
499	2463	2463
500	2470	2460
501	2478	2458
502	2485	2456
503	2493	2453
504	2496	2446
505	2500	2440
506	2506	2436
507	2510	2431
508	2515	2426
509	2523	2424
510	2528	2419
511	2532	2413
512	2543	2414
513	2549	2410
514	2555	2406
515	2562	2403
516	2575	2405
517	2580	2400
518	2585	2396
519	2596	2396
520	2605	2395
521	2609	2389
522	2615	2385
523	2618	2378
524	2623	2373
525	2630	2370
526	2635	2365
527	2663	2381
528	2671	2379
529	2683	2380
530	2692	2378
531	2701	2376
532	2717	2380
533	2723	2376
534	2742	2383
535	2747	2378
536	2750	2371
537	2758	2368
538	2777	2375
539	2792	2379
540	2819	2392
541	2824	2387
542	2827	2379
543	2844	2384
544	2869	2395
545	2872	2388
546	2876	2381
547	2880	2375
548	2886	2370
549	2898	2371
550	2903	2365
551	2919	2369
552	2936	2373
553	2951	2376
554	2960	2374
555	2964	2367
556	2967	2360
557	2987	2366
558	2990	2359
559	3010	2365
560	3016	2360
561	3039	2368
562	3054	2370
563	3102	2398
564	3116	2399
565	3122	2394
566	3128	2389
567	3141	2389
568	3154	2389
569	3179	2398
570	3189	2396
571	3203	2397
572	3256	2426
573	3263	2421
574	3267	2414
575	3272	2409
576	3277	2402
577	3283	2397
578	3287	2390
579	3292	2383
580	3295	2376
581	3297	2368
582	3306	2364
583	3311	2358
584	3314	2351
585	3318	2344
586	3322	2337
587	3326	2330
588	3337	2329
589	3341	2322
590	3345	2315
591	3348	2307
592	3355	2302
593	3357	2295
594	3365	2290
595	3369	2284
596	3373	2277
597	3383	2274
598	3387	2267
599	3445	2296
600	3457	2295
601	3466	2291
602	3475	2288
603	3489	2287
604	3509	2291
605	3515	2285
606	3521	2280
607	3529	2275
608	3534	2269
609	3540	2263
610	3545	2257
611	3552	2252
612	3560	2248
613	3569	2244
614	3572	2236
615	3579	2231
616	3585	2225
617	3589	2218
618	3592	2211
619	3596	2204
620	3600	2197
621	3603	2189
622	3606	2182
623	3610	2175
624	3614	2168
625	3617	2161
626	3623	2155
627	3626	2148
628	3629	2140
629	3651	2144
630	3660	2140
631	3663	2133
632	3668	2126
633	3676	2122
634	3693	2122
635	3699	2117
636	3705	2111
637	3712	2106
638	3717	2100
639	3726	2095
640	3730	2089
641	3733	2081
642	3737	2075
643	3743	2069
644	3748	2062
645	3753	2056
646	3756	2049
647	3760	2042
648	3763	2035
649	3769	2029
650	3774	2023
651	3777	2016
652	3780	2008
653	3788	2004
654	3791	1997
655	3795	1990
656	3800	1984
657	3805	1977
658	3808	1970
659	3815	1965
660	3819	1958
661	3822	1951
662	3826	1944
663	3830	1938
664	3833	1931
665	3836	1923
666	3840	1917
667	3846	1911
668	3852	1906
669	3855	1899
670	3859	1892
671	3863	1885
672	3866	1878
673	3869	1871
674	3876	1866
675	3879	1859
676	3885	1853
677	3891	1848
678	3895	1841
679	3898	1834
680	3901	1827
681	3903	1820
682	3906	1813
683	3909	1806
684	3913	1799
685	3916	1792
686	3919	1785
687	3922	1778
688	3925	1771
689	3927	1764
690	3931	1757
691	3934	1751
692	3936	1743
693	3942	1738
694	3947	1732
695	3957	1728
696	3959	1721
697	3962	1714
698	3967	1708
699	3975	1703
700	3983	1698
701	3987	1692
702	3989	1685
703	3996	1680
704	4002	1674
705	4004	1667
706	4008	1661
707	4012	1654
708	4015	1648
709	4019	1641
710	4022	1635
711	4027	1629
712	4030	1622
713	4034	1616
714	4042	1611
715	4050	1606
716	4055	1600
717	4058	1594
718	4062	1587
719	4064	1580
720	4070	1575
721	4076	1569
722	4080	1563
723	4084	1557
724	4094	1553
725	4102	1548
726	4106	1542
727	4115	1537
728	4123	1532
729	4129	1527
730	4136	1522
731	4154	1520
732	4157	1514
733	4170	1511
734	4191	1511
735	4195	1504
736	4200	1498
737	4210	1494
738	4215	1488
739	4222	1483
740	4232	1479
741	4238	1473
742	4249	1469
743	4252	1463
744	4269	1461
745	4278	1456
746	4286	1451
747	4291	1445
748	4297	1440
749	4303	1434
750	4310	1429
751	4317	1423
752	4325	1418
753	4329	1412
754	4334	1406
755	4343	1401
756	4347	1395
757	4351	1389
758	4356	1383
759	4360	1377
760	4363	1370
761	4366	1363
762	4370	1357
763	4402	1360
764	4412	1355
765	4440	1356
766	4444	1350
767	4462	1348
768	4466	1341
769	4468	1334
770	4473	1328
771	4486	1325
772	4492	1319
773	4499	1313
774	4504	1307
775	4508	1301
776	4514	1295
777	4533	1293
778	4540	1288
779	4550	1283
780	4553	1276
781	4560	1271
782	4569	1266
783	4572	1259
784	4577	1253
785	4584	1248
786	4593	1243
787	4601	1237
788	4607	1232
789	4620	1228
790	4631	1223
791	4634	1217
792	4639	1210
793	4644	1205
794	4647	1198
795	4654	1192
796	4658	1186
797	4661	1180
798	4666	1173
799	4669	1167
800	4671	1160
801	4676	1154
802	4681	1148
803	4684	1141
804	4687	1135
805	4696	1130
806	4702	1124
807	4706	1118
808	4708	1111
809	4723	1107
810	4727	1101
811	4729	1095
812	4732	1088
813	4745	1084
814	4748	1077
815	4752	1071
816	4756	1065
817	4763	1059
818	4769	1054
819	4772	1047
820	4775	1041
821	4778	1034
822	4780	1028
823	4782	1021
824	4785	1015
825	4787	1008
826	4791	1002
827	4798	996
828	4810	992
829	4813	985
830	4818	979
831	4823	973
832	4826	967
833	4829	961
834	4835	955
835	4838	949
836	4841	942
837	4843	936
838	4846	930
839	4850	923
840	4853	917
841	4856	911
842	4859	904
843	4863	898
844	4866	892
845	4869	886
846	4871	880
847	4881	875
848	4884	868
849	4890	862
850	4895	857
851	4898	850
852	4900	844
853	4903	838
854	4907	832
855	4910	826
856	4916	820
857	4921	814
858	4924	808
859	4933	803
860	4941	797
861	4944	791
862	4946	785
863	4951	779
864	4954	773
865	4958	767
866	4961	761
867	4964	754
868	4967	748
869	4971	742
870	4975	736
871	4978	730
872	4981	724
873	4984	718
874	5009	715
875	5014	709
876	5017	703
877	5020	697
878	5026	691
879	5036	686
880	5077	685
881	5081	679
882	5084	673
883	5087	667
884	5091	661
885	5099	656
886	5105	650
887	5112	644
888	5118	639
889	5126	633
890	5130	627
891	5140	622
892	5145	616
893	5158	611
894	5191	609
895	5195	603
896	5197	596
897	5200	590
898	5203	584
899	5217	579
900	5220	573
901	5226	567
902	5246	563
903	5259	558
904	5266	552
905	5270	546
906	5273	540
907	5276	534
908	5282	528
909	5286	522
910	5293	517
911	5302	511
912	5305	505
913	5308	499
914	5311	493
915	5327	488
916	5331	482
917	5351	477
918	5355	472
919	5359	466
920	5368	460
921	5372	454
922	5378	448
923	5382	442
924	5385	436
925	5388	430
926	5393	424
927	5396	418
928	5400	412
929	5404	406
930	5411	401
931	5428	396
932	5438	390
933	5442	384
934	5445	378
935	5450	372
936	5457	366
937	5466	361
938	5470	355
939	5477	349
940	5481	343
941	5493	338
942	5496	332
943	5500	326
944	5502	320
945	5505	314
946	5507	308
947	5513	302
948	5518	296
949	5521	290
950	5530	284
951	5627	283
952	5639	278
953	5662	273
954	5667	267
955	5671	261
956	5674	254
957	5681	249
958	5686	243
959	5756	239
960	5758	233
961	5767	227
962	5777	221
963	5781	215
964	5785	209
965	5788	203
966	5810	198
967	5815	192
968	5819	186
969	5831	180
970	5844	174
971	5853	168
972	5857	162
973	5885	157
974	5892	151
975	5896	144
976	5905	139
977	5944	133
978	5984	128
979	6023	122
980	6048	117
981	6068	111
982	6073	105
983	6076	98
984	6096	92
985	6109	86
986	6121	80
987	6130	74
988	6147	68
989	6170	62
990	6197	56
991	6203	50
992	6209	43
993	6213	37
994	6218	31
995	6222	24
996	6227	18
997	6252	12
998	6259	6
999	6281	0
